Constituency,Party,VoteShare_%,Male_Voters,Female_Voters,Age_18_25,Age_26_40,Age_41_60,Age_60_plus
Veerapandi,DMK,29.03,154211,158906,68932,123100,94787,26298
Veerapandi,ADMK,27.11,154211,158906,68932,123100,94787,26298
Veerapandi,BJP,14.31,154211,158906,68932,123100,94787,26298
Veerapandi,INC,29.55,154211,158906,68932,123100,94787,26298
Rasipuram,DMK,27.47,157552,163047,76114,117101,109746,17638
Rasipuram,ADMK,32.07,157552,163047,76114,117101,109746,17638
Rasipuram,BJP,26.99,157552,163047,76114,117101,109746,17638
Rasipuram,INC,13.48,157552,163047,76114,117101,109746,17638
Senthamangalam,DMK,38.79,125825,118016,47854,80222,67174,48591
Senthamangalam,ADMK,21.52,125825,118016,47854,80222,67174,48591
Senthamangalam,BJP,21.99,125825,118016,47854,80222,67174,48591
Senthamangalam,INC,17.7,125825,118016,47854,80222,67174,48591
Namakkal,DMK,28.5,99679,102785,36875,75005,69618,20966
Namakkal,ADMK,29.01,99679,102785,36875,75005,69618,20966
Namakkal,BJP,21.21,99679,102785,36875,75005,69618,20966
Namakkal,INC,21.28,99679,102785,36875,75005,69618,20966
Paramathi-Velur,DMK,23.14,145804,154562,64687,101315,102469,31895
Paramathi-Velur,ADMK,26.73,145804,154562,64687,101315,102469,31895
Paramathi-Velur,BJP,28.32,145804,154562,64687,101315,102469,31895
Paramathi-Velur,INC,21.81,145804,154562,64687,101315,102469,31895
Tiruchengode,DMK,18.21,154669,159864,58824,106358,81364,67987
Tiruchengode,ADMK,17.97,154669,159864,58824,106358,81364,67987
Tiruchengode,BJP,34.99,154669,159864,58824,106358,81364,67987
Tiruchengode,INC,28.82,154669,159864,58824,106358,81364,67987
Kumarapalayam,DMK,25.24,131917,124721,62282,100670,79965,13721
Kumarapalayam,ADMK,22.55,131917,124721,62282,100670,79965,13721
Kumarapalayam,BJP,17.98,131917,124721,62282,100670,79965,13721
Kumarapalayam,INC,34.22,131917,124721,62282,100670,79965,13721
Erode East,DMK,29.49,125759,121925,57973,97526,72361,19824
Erode East,ADMK,22.24,125759,121925,57973,97526,72361,19824
Erode East,BJP,33.1,125759,121925,57973,97526,72361,19824
Erode East,INC,15.17,125759,121925,57973,97526,72361,19824
Erode West,DMK,17.86,175681,165338,65633,126216,98693,50477
Erode West,ADMK,26.13,175681,165338,65633,126216,98693,50477
Erode West,BJP,31.26,175681,165338,65633,126216,98693,50477
Erode West,INC,24.75,175681,165338,65633,126216,98693,50477
Modakkurichi,DMK,33.71,124197,120273,60937,90925,66581,26027
Modakkurichi,ADMK,25.04,124197,120273,60937,90925,66581,26027
Modakkurichi,BJP,17.33,124197,120273,60937,90925,66581,26027
Modakkurichi,INC,23.92,124197,120273,60937,90925,66581,26027
Perundurai,DMK,26.81,156520,150132,70339,96949,105508,33856
Perundurai,ADMK,21.61,156520,150132,70339,96949,105508,33856
Perundurai,BJP,25.28,156520,150132,70339,96949,105508,33856
Perundurai,INC,26.29,156520,150132,70339,96949,105508,33856
Bhavani,DMK,25.72,122269,129231,48651,85324,86374,31151
Bhavani,ADMK,28.57,122269,129231,48651,85324,86374,31151
Bhavani,BJP,22.09,122269,129231,48651,85324,86374,31151
Bhavani,INC,23.62,122269,129231,48651,85324,86374,31151
Anthiyur,DMK,31.84,134779,144333,50988,96722,89112,42290
Anthiyur,ADMK,22.42,134779,144333,50988,96722,89112,42290
Anthiyur,BJP,24.98,134779,144333,50988,96722,89112,42290
Anthiyur,INC,20.76,134779,144333,50988,96722,89112,42290
Gobichettipalayam,DMK,20.03,130054,124473,54018,86563,88376,25570
Gobichettipalayam,ADMK,19.49,130054,124473,54018,86563,88376,25570
Gobichettipalayam,BJP,31.57,130054,124473,54018,86563,88376,25570
Gobichettipalayam,INC,28.91,130054,124473,54018,86563,88376,25570
Bhavanisagar,DMK,27.37,159563,161224,77845,126226,111606,5110
Bhavanisagar,ADMK,29.77,159563,161224,77845,126226,111606,5110
Bhavanisagar,BJP,15.34,159563,161224,77845,126226,111606,5110
Bhavanisagar,INC,27.51,159563,161224,77845,126226,111606,5110
Dharapuram,DMK,33.27,169983,177570,63516,118706,95683,69648
Dharapuram,ADMK,16.65,169983,177570,63516,118706,95683,69648
Dharapuram,BJP,25.57,169983,177570,63516,118706,95683,69648
Dharapuram,INC,24.5,169983,177570,63516,118706,95683,69648
Kangayam,DMK,19.69,143992,143129,53063,101840,91976,40242
Kangayam,ADMK,25.2,143992,143129,53063,101840,91976,40242
Kangayam,BJP,29.33,143992,143129,53063,101840,91976,40242
Kangayam,INC,25.77,143992,143129,53063,101840,91976,40242
Avanashi,DMK,36.49,155648,160816,72480,122781,94869,26334
Avanashi,ADMK,20.9,155648,160816,72480,122781,94869,26334
Avanashi,BJP,25.0,155648,160816,72480,122781,94869,26334
Avanashi,INC,17.62,155648,160816,72480,122781,94869,26334
Tiruppur North,DMK,28.41,135889,141576,60987,103918,93752,18808
Tiruppur North,ADMK,21.05,135889,141576,60987,103918,93752,18808
Tiruppur North,BJP,27.93,135889,141576,60987,103918,93752,18808
Tiruppur North,INC,22.6,135889,141576,60987,103918,93752,18808
Tiruppur South,DMK,21.56,141850,150076,55007,98474,77748,60697
Tiruppur South,ADMK,25.59,141850,150076,55007,98474,77748,60697
Tiruppur South,BJP,19.37,141850,150076,55007,98474,77748,60697
Tiruppur South,INC,33.48,141850,150076,55007,98474,77748,60697
Palladam,DMK,31.44,108337,108861,41943,74131,65027,36097
Palladam,ADMK,21.37,108337,108861,41943,74131,65027,36097
Palladam,BJP,27.93,108337,108861,41943,74131,65027,36097
Palladam,INC,19.26,108337,108861,41943,74131,65027,36097
Udumalaipettai,DMK,21.5,135789,139611,65854,107769,82492,19285
Udumalaipettai,ADMK,39.81,135789,139611,65854,107769,82492,19285
Udumalaipettai,BJP,19.01,135789,139611,65854,107769,82492,19285
Udumalaipettai,INC,19.68,135789,139611,65854,107769,82492,19285
Madathukulam,DMK,30.14,106163,107601,45081,79520,67558,21605
Madathukulam,ADMK,13.44,106163,107601,45081,79520,67558,21605
Madathukulam,BJP,31.43,106163,107601,45081,79520,67558,21605
Madathukulam,INC,24.99,106163,107601,45081,79520,67558,21605
Sulur,DMK,21.21,139134,145697,67874,103869,96667,16421
Sulur,ADMK,29.76,139134,145697,67874,103869,96667,16421
Sulur,BJP,24.46,139134,145697,67874,103869,96667,16421
Sulur,INC,24.56,139134,145697,67874,103869,96667,16421
Kavundampalayam,DMK,22.88,106956,99522,45998,68331,66035,26114
Kavundampalayam,ADMK,20.82,106956,99522,45998,68331,66035,26114
Kavundampalayam,BJP,26.8,106956,99522,45998,68331,66035,26114
Kavundampalayam,INC,29.5,106956,99522,45998,68331,66035,26114
Coimbatore North,DMK,33.06,140517,147116,53018,95286,90052,49277
Coimbatore North,ADMK,26.53,140517,147116,53018,95286,90052,49277
Coimbatore North,BJP,21.53,140517,147116,53018,95286,90052,49277
Coimbatore North,INC,18.87,140517,147116,53018,95286,90052,49277
Thondamuthur,DMK,25.29,111397,118977,42031,77361,64319,46663
Thondamuthur,ADMK,26.35,111397,118977,42031,77361,64319,46663
Thondamuthur,BJP,24.39,111397,118977,42031,77361,64319,46663
Thondamuthur,INC,23.97,111397,118977,42031,77361,64319,46663
Coimbatore South,DMK,17.81,124465,116431,46805,84412,63869,45810
Coimbatore South,ADMK,23.91,124465,116431,46805,84412,63869,45810
Coimbatore South,BJP,27.75,124465,116431,46805,84412,63869,45810
Coimbatore South,INC,30.52,124465,116431,46805,84412,63869,45810
Singanallur,DMK,24.31,173023,176753,71078,106061,116982,55655
Singanallur,ADMK,23.13,173023,176753,71078,106061,116982,55655
Singanallur,BJP,24.21,173023,176753,71078,106061,116982,55655
Singanallur,INC,28.35,173023,176753,71078,106061,116982,55655
Kinathukadavu,DMK,22.99,162978,163971,75651,127968,95919,27411
Kinathukadavu,ADMK,27.35,162978,163971,75651,127968,95919,27411
Kinathukadavu,BJP,30.99,162978,163971,75651,127968,95919,27411
Kinathukadavu,INC,18.67,162978,163971,75651,127968,95919,27411
Pollachi,DMK,18.84,113543,122692,57717,80713,63436,34369
Pollachi,ADMK,17.69,113543,122692,57717,80713,63436,34369
Pollachi,BJP,28.9,113543,122692,57717,80713,63436,34369
Pollachi,INC,34.58,113543,122692,57717,80713,63436,34369
Valparai,DMK,22.97,155498,168018,68450,121506,100035,33525
Valparai,ADMK,31.02,155498,168018,68450,121506,100035,33525
Valparai,BJP,30.7,155498,168018,68450,121506,100035,33525
Valparai,INC,15.32,155498,168018,68450,121506,100035,33525
Aravakurichi,DMK,27.02,138766,134910,54406,86645,72847,59778
Aravakurichi,ADMK,23.72,138766,134910,54406,86645,72847,59778
Aravakurichi,BJP,16.17,138766,134910,54406,86645,72847,59778
Aravakurichi,INC,33.1,138766,134910,54406,86645,72847,59778
Karur,DMK,29.57,149339,153240,63091,118833,77216,43439
Karur,ADMK,24.83,149339,153240,63091,118833,77216,43439
Karur,BJP,15.55,149339,153240,63091,118833,77216,43439
Karur,INC,30.05,149339,153240,63091,118833,77216,43439
Krishnarayapuram,DMK,20.16,122812,128720,50912,86576,74311,39733
Krishnarayapuram,ADMK,29.59,122812,128720,50912,86576,74311,39733
Krishnarayapuram,BJP,22.7,122812,128720,50912,86576,74311,39733
Krishnarayapuram,INC,27.55,122812,128720,50912,86576,74311,39733
Kulithalai,DMK,26.15,149673,152321,72073,99923,95889,34109
Kulithalai,ADMK,23.13,149673,152321,72073,99923,95889,34109
Kulithalai,BJP,34.62,149673,152321,72073,99923,95889,34109
Kulithalai,INC,16.1,149673,152321,72073,99923,95889,34109
